index	mg	eg
361	7	8
362	49	20
363	21	28
364	-1	17
365	-5	27
366	25	44
367	44	46
368	-7	12
369	-2	-15
370	-5	24
371	4	28
372	-14	27
373	-19	30
374	-12	35
375	1	28
376	-25	4
377	-40	-26
378	15	-7
379	-15	21
380	-30	27
381	-39	22
382	-36	21
383	-23	8
384	-45	-18
385	1	-27
386	2	-1
387	-12	4
388	-37	23
389	-36	28
390	-21	9
391	-2	-2
392	-14	-20
393	21	-36
394	31	-16
395	7	0
396	-43	21
397	-26	17
398	10	5
399	25	-11
400	29	-39
401	4	-61
402	50	-48
403	41	-21
404	-33	-6
405	9	-34
406	-10	-6
407	49	-40
408	36	-66
409	-3	0
410	4	10
411	10	25
412	18	29
413	16	40
414	17	42
415	20	48
416	24	51
417	20	51
418	-15	-4
419	-2	9
420	9	20
421	10	31
422	14	39
423	26	53
424	29	57
425	35	63
426	28	69
427	29	76
428	31	78
429	34	78
430	43	99
431	46	99
432	-18	-4
433	0	12
434	6	26
435	16	36
436	22	40
437	24	49
438	21	65
439	28	68
440	27	75
441	32	80
442	32	84
443	32	86
444	38	92
445	43	99
446	43	80
447	0	0
448	6	7
449	9	17
450	17	25
451	18	35
452	23	44
453	29	52
454	33	65
455	36	72
456	38	81
457	40	89
458	42	100
459	48	106
460	53	118
461	58	125
462	54	131
463	61	141
464	59	149
465	61	154
466	67	161
467	71	168
468	74	175
469	79	184
470	83	192
471	86	202
472	91	212
473	95	221
474	98	230
475	39	-10
476	6	21
477	-3	10
478	22	9
479	6	14
480	1	-6
481	50	23
482	25	22
483	38	13
484	3	-7
485	14	10
486	11	13
487	23	20
488	13	16
489	0	-1
490	-4	-11
491	-4	-3
492	-11	-7
493	-4	-17
494	-4	-21
495	-10	-32
496	0	7
497	1	30
498	-3	10
499	-2	-4
500	-10	-15
501	-6	-20
502	3	-16
503	-7	-13
504	-16	-39
505	-5	-44
506	-2	-20
507	3	2
508	-4	21
509	5	27
510	-2	19
511	-1	12
512	0	-2
513	-5	-13
514	-12	-6
515	-3	-12
516	-2	-14
517	1	-14
518	6	1
519	8	3
520	4	2
521	2	2
522	0	0
523	0	0
524	0	0
525	0	0
526	0	0
527	0	0
528	24	-1
529	16	16
530	26	8
531	47	15
532	14	-6
533	4	1
534	-2	-9
535	1	-2
536	0	-2
537	0	0
538	-5	-2
539	-10	4
540	2	-4
541	-2	-6
542	0	-3
543	0	0
544	5	11
545	0	1
546	4	2
547	3	6
548	6	2
549	6	2
550	0	0
551	-3	-2
552	-4	4
553	-2	3
554	7	3
555	4	-1
556	0	0
557	-3	-4
558	1	-1
559	2	-2
560	3	-1
561	-1	-2
562	-8	2
563	1	-1
564	2	-1
565	3	2
566	7	11
567	3	7
568	1	1
569	0	0
570	-4	-1
571	-3	-19
572	4	6
573	5	3
574	-8	5
575	-6	-5
576	-9	-3
577	-1	-5
578	-5	1
579	-5	13
580	-1	2
581	-2	0
582	-2	2
583	0	10
584	2	13
585	1	3
586	-1	1
587	-2	0
588	0	1
589	1	8
590	3	7
591	2	1
592	6	4
593	11	7
594	21	4
595	-1	-2
596	-2	-4
597	2	1
598	-7	0
599	-1	-1
600	3	-3
601	0	-1
602	-6	3
603	0	0
604	0	-3
605	-1	0
606	-8	0
607	0	0
608	8	5
609	5	3
610	3	4
