id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,84,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1164,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 25,8,12881,13,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 25,8,20000,20,pass,"{'nodes': 5112, 'attempts': 15, 'completed': 13, 'exhausted': 1, 'selections': 0}"
central-queen-safety,safety,0,c3d5,c3d5,cp 1149,7,13284,15,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,100,c3d5,c3d5,cp 1147,6,12397,16,pass,"{'nodes': 2343, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -115,6,13801,23,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -138,5,12532,20,pass,"{'nodes': 3549, 'attempts': 8, 'completed': 8, 'exhausted': 0, 'selections': 1}"
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 58,7,58376,90,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,100,h2h3,b1d2,cp 52,6,58261,77,FAIL,"{'nodes': 8909, 'attempts': 11, 'completed': 7, 'exhausted': 5, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -469,6,19761,14,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -457,4,11927,10,pass,"{'nodes': 1055, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,62800,41,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,100,d2e2,d2e2,cp 0,5,56042,33,pass,"{'nodes': 4610, 'attempts': 6, 'completed': 3, 'exhausted': 4, 'selections': 1}"
