index	mg	eg
177	-12	-1
178	-1	13
179	15	18
180	44	10
181	28	16
182	35	12
183	1	7
184	-6	8
185	-13	-1
186	10	3
187	12	19
188	28	23
189	30	10
190	2	13
191	7	8
192	-3	-9
193	6	-9
194	16	2
195	15	18
196	5	12
197	8	18
198	21	5
199	8	-7
200	6	-14
201	-4	-9
202	4	-13
203	15	-6
204	-1	8
205	6	5
206	17	-5
207	38	-19
208	-5	-26
209	-43	-17
210	-5	-5
211	-5	-12
212	-32	1
213	-20	-4
214	-21	-9
215	-53	-1
216	-28	-12
217	27	14
218	40	5
219	27	16
220	52	13
221	63	7
222	2	13
223	29	11
224	37	-6
225	22	10
226	30	12
227	51	4
228	66	10
229	88	-1
230	72	7
231	21	11
232	41	-2
233	-11	13
234	16	9
235	25	13
236	34	6
237	16	6
238	46	-4
239	62	-5
240	11	-3
241	-33	14
242	-19	11
243	2	19
244	27	2
245	14	0
246	29	2
247	-16	3
248	-33	3
249	-48	10
250	-42	7
251	-24	14
252	-18	5
253	-2	-7
254	-17	-1
255	-3	-8
256	-38	-15
257	-61	-4
258	-43	-4
259	-26	-5
260	-32	-2
261	-9	-9
262	-7	-12
263	-9	-8
264	-52	-17
265	-58	-10
266	-27	-7
267	-34	-3
268	-18	-2
269	-5	-13
270	8	-15
271	-17	-18
272	-98	-8
273	-34	-8
274	-20	-6
275	-23	0
276	-1	-15
277	8	-19
278	-10	-18
279	-39	1
280	-41	-17
281	-34	-20
282	-1	16
283	32	16
284	8	20
285	65	21
286	49	10
287	46	1
288	45	11
289	-23	-28
290	-45	15
291	-8	27
292	-2	38
293	-22	58
294	63	19
295	30	24
296	54	-12
297	-13	-31
298	-25	-4
299	8	1
300	9	46
301	32	45
302	59	29
303	51	14
304	52	-1
305	-36	-8
306	-30	16
307	-18	19
308	-25	42
309	-5	57
310	19	38
311	-10	56
312	-4	32
313	-8	-29
314	-33	22
315	-8	16
316	-12	44
317	-8	25
318	-10	31
319	-4	33
320	-6	18
321	-11	-27
322	2	-38
323	-15	7
324	-6	-7
325	-2	4
326	1	12
327	14	2
328	2	-7
329	-43	-37
330	-11	-38
331	6	-48
332	0	-28
333	6	-27
334	17	-38
335	-10	-56
336	-4	-50
337	-10	-51
338	-24	-43
339	2	-33
340	12	-57
341	-25	-21
342	-30	-50
343	-40	-35
344	-64	-59
345	-58	-91
346	45	-44
347	37	-24
348	1	-24
349	-49	-16
350	-21	15
351	21	1
352	34	-23
353	53	-18
354	17	17
355	-5	18
356	11	17
357	10	16
358	14	41
359	-26	24
360	-16	8
361	7	8
362	48	19
363	21	27
364	-1	17
365	-5	26
366	24	43
367	43	45
368	-7	12
369	-2	-15
370	-5	23
371	4	27
372	-14	26
373	-18	29
374	-12	34
375	1	27
376	-24	4
377	-39	-25
378	15	-7
379	-14	21
380	-29	27
381	-38	22
382	-35	20
383	-22	8
384	-44	-18
385	1	-26
386	2	-1
387	-12	4
388	-36	22
389	-35	27
390	-20	9
391	-1	-2
392	-13	-19
393	21	-35
394	29	-17
395	7	0
396	-43	19
397	-25	17
398	9	5
399	25	-10
400	29	-37
401	4	-60
402	49	-47
403	38	-21
404	-32	-6
405	12	-33
406	-8	-5
407	45	-39
408	36	-64
409	-3	0
410	4	10
411	10	25
412	18	29
413	16	40
414	20	42
415	20	47
416	22	50
417	19	49
418	-15	-4
419	-3	8
420	10	19
421	12	31
422	16	40
423	25	51
424	28	55
425	34	62
426	27	66
427	27	74
428	30	76
429	33	75
430	42	97
431	45	97
432	-17	-4
433	0	12
434	6	26
435	14	35
436	22	39
437	24	48
438	20	63
439	26	66
440	26	72
441	30	78
442	32	82
443	31	84
444	37	90
445	42	96
446	42	78
447	0	0
448	6	7
449	9	17
450	17	24
451	18	34
452	23	43
453	29	51
454	32	63
455	37	71
456	39	80
457	39	87
458	39	97
459	45	103
460	52	115
461	56	122
462	53	128
463	60	138
464	57	145
465	60	150
466	66	157
467	69	164
468	72	171
469	77	180
470	81	187
471	84	197
472	89	207
473	93	216
474	96	224
475	36	-11
476	5	23
477	-3	9
478	22	9
479	5	12
480	1	-5
481	49	22
482	25	22
483	37	13
484	4	-3
485	13	9
486	13	13
487	22	19
488	12	14
489	0	-1
490	-4	-10
491	-4	-3
492	-11	-6
493	-4	-16
494	-3	-20
495	-9	-30
496	0	7
497	1	30
498	-3	9
499	-2	-3
500	-10	-13
501	-6	-19
502	4	-14
503	-6	-12
504	-15	-37
505	-5	-43
506	-3	-20
507	3	4
508	-3	22
509	6	28
510	-1	18
511	-1	11
512	0	-2
513	-5	-13
514	-12	-5
515	-3	-12
516	-3	-13
517	1	-13
518	6	1
519	7	3
520	4	2
521	2	2
522	0	0
523	0	0
524	0	0
525	0	0
526	0	0
527	0	0
528	23	-1
529	15	15
530	25	9
531	45	15
532	14	-6
533	2	1
534	-2	-9
535	2	-2
536	0	-2
537	0	0
538	-3	-2
539	-12	2
540	-1	-4
541	-1	-5
542	0	-3
543	0	0
544	4	10
545	0	2
546	3	2
547	2	5
548	5	1
549	5	1
550	0	0
551	-2	-1
552	-2	3
553	-2	3
554	5	2
555	3	-2
556	0	0
557	-2	-4
558	1	-2
559	1	-1
560	2	-1
561	-1	-2
562	-5	2
563	0	0
564	1	0
565	2	1
566	6	9
567	2	6
568	1	1
569	0	0
570	-3	2
571	-3	-17
572	1	7
573	1	4
574	-7	8
575	-5	-3
576	-6	0
577	3	-1
578	-2	4
579	-1	14
580	-1	2
581	-2	0
582	-2	3
583	0	8
584	2	12
585	1	3
586	0	2
587	-2	0
588	1	3
589	1	6
590	3	6
591	2	1
592	5	4
593	10	7
594	18	3
595	-1	-3
596	-2	-4
597	2	0
598	-7	0
599	-1	-1
600	3	-2
601	-1	-1
602	-4	4
603	0	0
604	0	-3
605	-1	1
606	-7	-1
607	0	0
608	7	4
609	3	2
610	4	4
