measured 32 searches; mismatches=1
id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
central-queen-safety,safety,0,c3d5,c3d5,cp 1133,8,19533,11,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,100,c3d5,c3d5,cp 1119,6,10980,6,pass,"{'nodes': 1921, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -108,6,14519,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -141,5,13562,10,pass,"{'nodes': 1841, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}"
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 41,7,48883,33,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 49,6,50318,37,pass,"{'nodes': 8758, 'attempts': 10, 'completed': 6, 'exhausted': 4, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -429,6,15556,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -451,5,19878,14,pass,"{'nodes': 1310, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,47178,16,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,100,d2e2,d2e2,cp 0,5,59146,20,pass,"{'nodes': 4866, 'attempts': 7, 'completed': 3, 'exhausted': 4, 'selections': 1}"
