id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality,baseline_bestmove,baseline_score,baseline_depth,baseline_nodes,baseline_elapsed_ms,baseline_status,baseline_personality,move_changed,expected_hit_delta
defensive-safety,safety,0,a1a2,a1a2,cp -641,8,15568,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",a1a2,cp -641,8,15568,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
defensive-safety,safety,100,a1a2,a1a2,cp -641,8,17856,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",a1a2,cp -641,8,17856,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
open-king-gambit,forcing-attack,0,c1g5,"c1g5,c3d5",cp 111,6,48766,29,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",c1g5,cp 111,6,48766,32,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
open-king-gambit,forcing-attack,100,c1g5,c1g5,cp 111,6,100000,60,pass,"{'nodes': 8753, 'attempts': 8, 'completed': 4, 'exhausted': 3, 'selections': 0}",c1g5,cp 111,6,100000,66,pass,"{'nodes': 8753, 'attempts': 8, 'completed': 4, 'exhausted': 3, 'selections': 0}",False,0
opposite-castle-storm,pawn-storm,0,f1e1,f1e1,cp -256,5,8976,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",f1e1,cp -256,5,8976,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -255,5,12736,6,pass,"{'nodes': 3933, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}",b2b4,cp -255,5,12736,7,pass,"{'nodes': 3933, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}",False,0
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1317,5,7591,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",d3d5,cp 1317,5,7591,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1307,4,7413,1,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}",d3d5,cp 1307,4,7413,2,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}",False,0
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1126,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",h5f7,mate 2,1,1126,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 20,8,12943,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",f2f4,cp 20,8,12943,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 20,8,19800,7,pass,"{'nodes': 6791, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}",f2f4,cp 20,8,19800,8,pass,"{'nodes': 6791, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}",False,0
central-queen-safety,safety,0,c3d5,c3d5,cp 1119,7,11466,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",c3d5,cp 1119,7,11466,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
central-queen-safety,safety,100,c3d5,c3d5,cp 1116,6,10895,5,pass,"{'nodes': 2069, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}",c3d5,cp 1116,6,10895,5,pass,"{'nodes': 2069, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}",False,0
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -113,6,13413,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",d2d4,cp -113,6,13413,8,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -135,5,13355,8,pass,"{'nodes': 2147, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}",e5c6,cp -135,5,13355,8,pass,"{'nodes': 2147, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}",False,0
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 41,7,64169,33,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",b1d2,cp 41,7,64169,36,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 50,7,77923,41,pass,"{'nodes': 12820, 'attempts': 11, 'completed': 7, 'exhausted': 4, 'selections': 0}",b1d2,cp 50,7,77923,45,pass,"{'nodes': 12820, 'attempts': 11, 'completed': 7, 'exhausted': 4, 'selections': 0}",False,0
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -450,6,14611,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",g1h1,cp -450,6,14611,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -450,5,19073,9,pass,"{'nodes': 1470, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",g1h1,cp -450,5,19073,10,pass,"{'nodes': 1470, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,47178,11,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",d2d7,cp 0,7,47178,13,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
measured 32 searches; mismatches=0
avoid-equal-queen-trade,simplification,100,d2e2,d2e2,cp 0,5,59146,13,pass,"{'nodes': 4866, 'attempts': 7, 'completed': 3, 'exhausted': 4, 'selections': 1}",d2e2,cp 0,5,59146,15,pass,"{'nodes': 4866, 'attempts': 7, 'completed': 3, 'exhausted': 4, 'selections': 1}",False,0
